mean_OOD,std_OOD,95% CI Lower,95% CI Upper
317.73132,26.339308,266.10626,369.35638
365.70688,37.994995,291.2367,440.17706
322.46756,26.199245,271.11703,373.81808
361.40527,37.3653,288.16928,434.64127
289.95517,22.928097,245.0161,334.89423
329.9644,29.755144,271.6443,388.2845
390.80804,50.686237,291.463,490.15308
320.27475,29.5574,262.34225,378.20724
358.29843,37.020325,285.7386,430.85828
377.56607,45.764824,287.867,467.26514
317.28632,29.814562,258.84976,375.72287
316.87607,24.196964,269.45,364.30212
295.22806,23.189896,249.77586,340.68027
316.492,26.82473,263.91553,369.06848
320.1059,27.038586,267.11026,373.10153
303.98428,23.68768,257.55643,350.41214
324.61487,29.52242,266.75092,382.47882
323.8031,26.51672,271.83032,375.77588
338.3973,30.733778,278.15912,398.6355
