mean_OOD,std_OOD,95% CI Lower,95% CI Upper
287.71857,9.022794,270.0339,305.40323
333.78333,10.851848,312.5137,355.05295
317.18073,10.506776,296.58743,337.77402
312.35275,9.685551,293.36908,331.33643
214.08989,6.807091,200.74799,227.4318
235.29666,7.087541,221.40508,249.18825
253.55898,7.654739,238.5557,268.56226
288.00974,9.298411,269.78485,306.23462
293.40588,9.690027,274.41342,312.39835
264.88928,8.4671335,248.2937,281.48486
251.6307,8.218215,235.52301,267.7384
324.8778,10.6129675,304.0764,345.67923
279.0695,9.077372,261.27783,296.86115
312.67032,9.687138,293.68353,331.6571
347.7682,11.274668,325.66983,369.86655
307.12372,10.439963,286.66138,327.58606
336.47058,10.910805,315.0854,357.85577
297.8618,9.182109,279.86487,315.8587
284.88818,8.993893,267.26016,302.5162
