mean_OOD,std_OOD,95% CI Lower,95% CI Upper
322.211,7.4781766,307.55377,336.86823
386.36588,8.698928,369.31598,403.41577
329.15344,6.986783,315.45935,342.84753
391.69247,8.745936,374.55045,408.8345
347.9611,10.674522,327.03903,368.88315
401.3386,9.593389,382.53555,420.14163
387.38547,32.165176,324.34174,450.4292
348.15408,7.3926234,333.66455,362.64362
394.85156,7.9939685,379.18338,410.51974
433.50174,8.669998,416.50854,450.49493
358.7803,8.198155,342.7119,374.8487
334.72287,7.0057416,320.9916,348.45413
334.23074,7.012764,320.48572,347.97577
341.57706,7.3832164,327.10596,356.04816
374.66937,8.050678,358.89005,390.4487
370.87607,8.088009,355.02356,386.72858
383.37607,8.674315,366.37442,400.37772
327.05127,8.56779,310.2584,343.84415
382.2308,10.412227,361.82285,402.63876
